Date,DPIS
2022/9/21,0.456808758
2022/9/22,1.456256384
2022/9/23,0.253531275
2022/9/26,1.236865442
2022/9/27,0.656698283
2022/9/28,-0.120649869
2022/9/29,-0.970973563
2022/9/30,-0.042915054
2022/10/10,-0.334420612
2022/10/11,0.038435334
2022/10/12,-0.742528392
2022/10/13,0.155088721
2022/10/14,-0.843677308
2022/10/17,-0.685417099
2022/10/18,-1.834607748
2022/10/19,-0.108916312
2022/10/20,-0.850161213
2022/10/21,-0.35287033
2022/10/24,0.554315844
2022/10/25,-0.462683057
2022/10/26,-0.832801081
2022/10/27,0.226166999
2022/10/28,0.807966032
2022/10/31,0.253531275
2022/11/1,-0.399860635
2022/11/2,1.496234289
2022/11/3,0.456808758
2022/11/4,0.102837724
2022/11/7,1.414612733
2022/11/8,1.934253074
2022/11/9,-0.523041855
2022/11/10,1.123107175
2022/11/11,-0.824036742
2022/11/14,-1.59761136
2022/11/15,0.780159461
2022/11/16,-1.178650992
2022/11/17,-0.742528392
2022/11/18,0.318953914
2022/11/21,-0.937769323
2022/11/22,0.358502435
2022/11/23,1.739118919
2022/11/24,1.98228145
2022/11/25,1.068235541
2022/11/28,1.050230786
2022/11/29,0.129121012
2022/11/30,0.020686158
2022/12/1,0.345759022
2022/12/2,0.59757603
2022/12/5,1.599034616
2022/12/6,0.574390832
2022/12/7,-0.66022094
2022/12/8,0.877628811
2022/12/9,1.744985698
2022/12/12,0.171252294
2022/12/13,2.055924959
2022/12/14,-0.29277696
2022/12/15,0.097007613
2022/12/16,1.496234289
2022/12/19,-0.042915054
2022/12/20,0.764331105
2022/12/21,0.456808758
2022/12/22,1.123107175
2022/12/23,0.12365955
2022/12/26,1.70611829
2022/12/27,1.70611829
2022/12/28,2.131558833
2022/12/29,1.753389461
2022/12/30,1.671823518
2023/1/3,0.604875073
2023/1/4,1.739118919
2023/1/5,1.589516067
2023/1/6,0.481794949
2023/1/9,1.20215953
2023/1/10,0.456808758
2023/1/11,-0.042915054
2023/1/12,0.318953914
2023/1/13,0.501228653
2023/1/16,1.665443096
2023/1/17,-0.090833776
2023/1/18,0.003725835
2023/1/19,0.490688339
2023/1/20,-0.163538043
2023/1/30,-0.19500491
2023/1/31,0.038435334
2023/2/1,-0.499184622
2023/2/2,-0.248683683
2023/2/3,-1.022373727
2023/2/6,-0.595241373
2023/2/7,1.038305559
2023/2/8,1.571577263
2023/2/9,0.248590503
2023/2/10,2.540990206
2023/2/13,0.456808758
2023/2/14,-0.128233754
2023/2/15,2.455704009
2023/2/16,-0.542638867
2023/2/17,1.780021107
2023/2/20,1.475113886
2023/2/21,-0.431589131
2023/2/22,0.972652694
2023/2/23,-0.695096979
2023/2/24,-0.082219174
2023/2/27,0.991724389
2023/2/28,1.822720513
2023/3/1,-0.66022094
2023/3/2,-0.515626769
2023/3/3,-0.664067083
2023/3/6,-0.209489658
2023/3/7,-0.917431726
2023/3/8,-0.695096979
2023/3/9,-1.017786098
2023/3/10,-0.188667833
2023/3/13,1.229109196
2023/3/14,1.37522009
2023/3/15,-1.388325319
2023/3/16,-2.064269288
